experiment_id,hypothesis_id,command,comment,env_id,seed,algorithm,total_timesteps,n_episodes,mean_return,q4_return,auc,final_avg20
h014-qbert-s1,h014,,"ppo_entropy_anneal Qbert-v5 seed 1 (fir, 40000000)",Qbert-v5,1,ppo_entropy_anneal,40000000,117376,150.00,,,150.00
h015-amidar-s1,h015,,"ppo_popart Amidar-v5 seed 1 (nibi, 40000000)",Amidar-v5,1,ppo_popart,40000000,71424,2.286738395690918,2.387096881866455,163328.0,1.0
h015-breakout-s1,h015,,"ppo_popart Breakout-v5 seed 1 (rorqual, 40000000)",Breakout-v5,1,ppo_popart,40000000,80768,5.00,,,5.00
h015-enduro-s1,h015,,"ppo_popart Enduro-v5 seed 1 (narval, 40000000)",Enduro-v5,1,ppo_popart,40000000,11904,0.0,0.0,0.0,0.0
h015-phoenix-s1,h015,,"ppo_popart Phoenix-v5 seed 1 (nibi, 40000000)",Phoenix-v5,1,ppo_popart,40000000,34432,748.8475952148438,765.3531494140625,25784320.0,800.0
h015-qbert-s1,h015,,"ppo_popart Qbert-v5 seed 1 (nibi, 40000000)",Qbert-v5,1,ppo_popart,40000000,116096,150.00,,,150.00
h015-spaceinvaders-s1,h015,,"ppo_popart SpaceInvaders-v5 seed 1 (narval, 40000000)",SpaceInvaders-v5,1,ppo_popart,40000000,79488,153.89694213867188,160.1127166748047,12232960.0,335.0
h015-venture-s1,h015,,"ppo_popart Venture-v5 seed 1 (nibi, 40000000)",Venture-v5,1,ppo_popart,40000000,18304,0.0,0.0,0.0,0.0
h016-amidar-s1,h016,,"ppo_sparse Amidar-v5 seed 1 (nibi, 40000000)",Amidar-v5,1,ppo_sparse,40000000,66048,31.00,,,31.00
h016-breakout-s1,h016,,"ppo_sparse Breakout-v5 seed 1 (narval, 40000000)",Breakout-v5,1,ppo_sparse,40000000,66560,3.00,,,3.00
h016-qbert-s1,h016,,"ppo_sparse Qbert-v5 seed 1 (rorqual, 40000000)",Qbert-v5,1,ppo_sparse,40000000,115712,150.00,,,150.00
h017-amidar-s1,h017,,"ppo_spo Amidar-v5 seed 1 (rorqual, 40000000)",Amidar-v5,1,ppo_spo,40000000,70016,31.00,,,31.00
h017-breakout-s1,h017,,"ppo_spo Breakout-v5 seed 1 (fir, 40000000)",Breakout-v5,1,ppo_spo,40000000,102912,5.00,,,5.00
h017-qbert-s1,h017,,"ppo_spo Qbert-v5 seed 1 (narval, 40000000)",Qbert-v5,1,ppo_spo,40000000,117888,150.00,,,150.00
h018-alien-s1,h018,,"ppo_schedulefree Alien-v5 seed 1 (narval, 40000000)",Alien-v5,1,ppo_schedulefree,40000000,69248,100.00,,,100.00
h018-amidar-s1,h018,,"ppo_schedulefree Amidar-v5 seed 1 (narval, 40000000)",Amidar-v5,1,ppo_schedulefree,40000000,60288,12.00,,,12.00
h018-battlezone-s1,h018,,"ppo_schedulefree BattleZone-v5 seed 1 (rorqual, 40000000)",BattleZone-v5,1,ppo_schedulefree,40000000,27648,1000.00,,,1000.00
h018-breakout-s1,h018,,"ppo_schedulefree Breakout-v5 seed 1 (nibi, 40000000)",Breakout-v5,1,ppo_schedulefree,40000000,100352,3.00,,,3.00
h018-doubledunk-s1,h018,,"ppo_schedulefree DoubleDunk-v5 seed 1 (nibi, 40000000)",DoubleDunk-v5,1,ppo_schedulefree,40000000,12928,-24.00,,,-24.00
h018-enduro-s1,h018,,"ppo_schedulefree Enduro-v5 seed 1 (rorqual, 40000000)",Enduro-v5,1,ppo_schedulefree,40000000,11904,0.00,,,0.00
h018-montezumarevenge-s1,h018,,"ppo_schedulefree MontezumaRevenge-v5 seed 1 (narval, 40000000)",MontezumaRevenge-v5,1,ppo_schedulefree,40000000,154112,0.00,,,0.00
h018-mspacman-s1,h018,,"ppo_schedulefree MsPacman-v5 seed 1 (fir, 40000000)",MsPacman-v5,1,ppo_schedulefree,40000000,71936,210.00,,,210.00
h018-namethisgame-s1,h018,,"ppo_schedulefree NameThisGame-v5 seed 1 (nibi, 40000000)",NameThisGame-v5,1,ppo_schedulefree,40000000,21120,1440.00,,,1440.00
h018-phoenix-s1,h018,,"ppo_schedulefree Phoenix-v5 seed 1 (rorqual, 40000000)",Phoenix-v5,1,ppo_schedulefree,40000000,45312,20.00,,,20.00
h018-privateeye-s1,h018,,"ppo_schedulefree PrivateEye-v5 seed 1 (narval, 40000000)",PrivateEye-v5,1,ppo_schedulefree,40000000,14720,-197.00,,,-197.00
h018-qbert-s1,h018,,"ppo_schedulefree Qbert-v5 seed 1 (fir, 40000000)",Qbert-v5,1,ppo_schedulefree,40000000,106496,125.00,,,125.00
h018-solaris-s1,h018,,"ppo_schedulefree Solaris-v5 seed 1 (rorqual, 40000000)",Solaris-v5,1,ppo_schedulefree,40000000,4864,0.00,,,0.00
h018-spaceinvaders-s1,h018,,"ppo_schedulefree SpaceInvaders-v5 seed 1 (narval, 40000000)",SpaceInvaders-v5,1,ppo_schedulefree,40000000,65664,270.00,,,270.00
h018-venture-s1,h018,,"ppo_schedulefree Venture-v5 seed 1 (fir, 40000000)",Venture-v5,1,ppo_schedulefree,40000000,17280,0.00,,,0.00
h019-amidar-s1,h019,,"ppo_muon Amidar-v5 seed 1 (nibi, 40000000)",Amidar-v5,1,ppo_muon,40000000,63872,31.00,,,31.00
h019-breakout-s1,h019,,"ppo_muon Breakout-v5 seed 1 (narval, 40000000)",Breakout-v5,1,ppo_muon,40000000,73344,4.00,,,4.00
h019-qbert-s1,h019,,"ppo_muon Qbert-v5 seed 1 (rorqual, 40000000)",Qbert-v5,1,ppo_muon,40000000,116992,150.00,,,150.00
h020-alien-s1,h020,,"ppo_dueling Alien-v5 seed 1 (nibi, 40000000)",Alien-v5,1,ppo_dueling,40000000,67712,190.00,,,190.00
h020-amidar-s1,h020,,"ppo_dueling Amidar-v5 seed 1 (rorqual, 40000000)",Amidar-v5,1,ppo_dueling,40000000,62848,32.00,,,32.00
h020-battlezone-s1,h020,,"ppo_dueling BattleZone-v5 seed 1 (narval, 40000000)",BattleZone-v5,1,ppo_dueling,40000000,27520,8000.00,,,8000.00
h020-breakout-s1,h020,,"ppo_dueling Breakout-v5 seed 1 (fir, 40000000)",Breakout-v5,1,ppo_dueling,40000000,133248,3.00,,,3.00
h020-doubledunk-s1,h020,,"ppo_dueling DoubleDunk-v5 seed 1 (fir, 40000000)",DoubleDunk-v5,1,ppo_dueling,40000000,17664,-24.00,,,-24.00
h020-enduro-s1,h020,,"ppo_dueling Enduro-v5 seed 1 (fir, 40000000)",Enduro-v5,1,ppo_dueling,40000000,11904,0.00,,,0.00
h020-montezumarevenge-s1,h020,,"ppo_dueling MontezumaRevenge-v5 seed 1 (fir, 40000000)",MontezumaRevenge-v5,1,ppo_dueling,40000000,19584,0.00,,,0.00
h020-mspacman-s1,h020,,"ppo_dueling MsPacman-v5 seed 1 (rorqual, 40000000)",MsPacman-v5,1,ppo_dueling,40000000,68864,210.00,,,210.00
h020-namethisgame-s1,h020,,"ppo_dueling NameThisGame-v5 seed 1 (nibi, 40000000)",NameThisGame-v5,1,ppo_dueling,40000000,19200,2020.00,,,2020.00
h020-phoenix-s1,h020,,"ppo_dueling Phoenix-v5 seed 1 (rorqual, 40000000)",Phoenix-v5,1,ppo_dueling,40000000,53504,60.00,,,60.00
h020-privateeye-s1,h020,,"ppo_dueling PrivateEye-v5 seed 1 (nibi, 40000000)",PrivateEye-v5,1,ppo_dueling,40000000,14720,0.00,,,0.00
h020-qbert-s1,h020,,"ppo_dueling Qbert-v5 seed 1 (narval, 40000000)",Qbert-v5,1,ppo_dueling,40000000,112000,150.00,,,150.00
h020-solaris-s1,h020,,"ppo_dueling Solaris-v5 seed 1 (rorqual, 40000000)",Solaris-v5,1,ppo_dueling,40000000,5632,340.00,,,340.00
h020-spaceinvaders-s1,h020,,"ppo_dueling SpaceInvaders-v5 seed 1 (nibi, 40000000)",SpaceInvaders-v5,1,ppo_dueling,40000000,61056,275.00,,,275.00
h020-venture-s1,h020,,"ppo_dueling Venture-v5 seed 1 (narval, 40000000)",Venture-v5,1,ppo_dueling,40000000,17920,0.00,,,0.00
