global_step,episodic_return
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
81152,170.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
186368,220.00
