global_step,episodic_return
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
242944,1470.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
480768,1410.00
